Date,Adj Close,Close,High,Low,Open,Volume
2026-04-27,77366.625,77366.625,79488.171875,76481.34375,78661.015625,38135631927
2026-04-28,76350.671875,76350.671875,77483.8671875,75673.6015625,77368.1171875,32056900880
2026-04-29,75776.1328125,75776.1328125,77884.96875,74958.5703125,76350.6875,41460907886
2026-04-30,76304.3203125,76304.3203125,76611.484375,75318.984375,75778.6328125,29497862305
2026-05-01,78179.0,78179.0,78894.9765625,76294.6953125,76305.0546875,39164328894
2026-05-02,78657.25,78657.25,79119.7890625,78031.9609375,78177.75,16761531851
2026-05-03,78538.2265625,78538.2265625,79402.359375,78073.078125,78656.7265625,20544392639
2026-05-04,79827.90625,79827.90625,80742.359375,78217.9609375,78540.2890625,54325085296
2026-05-05,80927.0546875,80927.0546875,81751.453125,79787.578125,79823.53125,39700107376
2026-05-06,81427.53125,81427.53125,82792.2109375,80751.0234375,80930.734375,41751540000
2026-05-07,80009.9921875,80009.9921875,81684.953125,79522.65625,81428.8515625,36931193154
2026-05-08,80186.765625,80186.765625,80447.265625,79205.515625,80009.625,33789351540
2026-05-09,80664.3671875,80664.3671875,81030.0625,80119.9296875,80187.7421875,18102086996
2026-05-10,82138.9296875,82138.9296875,82430.171875,80274.1328125,80665.609375,26965971077
2026-05-11,81728.296875,81728.296875,82326.234375,80451.421875,82139.046875,32409774919
2026-05-12,80477.4921875,80477.4921875,81753.03125,79832.1015625,81725.3515625,32186688600
2026-05-13,79277.1171875,79277.1171875,81276.671875,78725.5078125,80476.7890625,34075428359
2026-05-14,81051.25,81051.25,82005.9609375,78909.6796875,79276.9453125,43731663431
2026-05-15,79065.6796875,79065.6796875,81634.84375,78635.3671875,81046.8671875,38183347368
2026-05-16,78131.4375,78131.4375,79173.5,77630.734375,79066.0,25895799905
2026-05-17,77429.3515625,77429.3515625,78539.3984375,76783.4140625,78133.5859375,20900166465
2026-05-18,76954.171875,76954.171875,77749.3203125,76029.2265625,77426.34375,41520471808
2026-05-19,76750.90625,76750.90625,77346.8671875,76082.3671875,76954.75,26031898332
2026-05-20,77457.7734375,77457.7734375,77775.5703125,76463.6484375,76749.453125,26668360936
2026-05-21,77539.171875,77539.171875,78100.5625,76655.4375,77462.5078125,27141485404
2026-05-22,75488.2421875,75488.2421875,77819.453125,75323.875,77538.1171875,27859040109
2026-05-23,76673.3671875,76673.3671875,77288.1171875,74255.234375,75488.3125,29973220002
2026-05-24,76981.125,76981.125,77372.5390625,76019.890625,76670.65625,20572738918
2026-05-25,77279.9296875,77279.9296875,77804.921875,76833.0390625,76981.125,19808387601
2026-05-26,75825.734375,75825.734375,77990.8671875,75569.46875,77280.125,35999475458
2026-05-27,75877.40625,75877.40625,75974.1796875,75217.328125,75829.40625,36201480192
